Date,Cow+AF8-ID,Activity,Session,Milk+AF8-Liters,Feed+AF8-kg
2025+AC0-11+AC0-01,JACKPOT,Feeding,Morning,,2.5
2025+AC0-11+AC0-01,JACKPOT,Milking,Morning,6,
2025+AC0-11+AC0-01,JACKPOT,Milking,Midday,3.5,
2025+AC0-11+AC0-01,JACKPOT,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,JACKPOT,Milking,Evening,3,
2025+AC0-11+AC0-01,SHARON,Feeding,Morning,,2.5
2025+AC0-11+AC0-01,SHARON,Milking,Morning,6.5,
2025+AC0-11+AC0-01,SHARON,Milking,Midday,5.3,
2025+AC0-11+AC0-01,SHARON,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,SHARON,Milking,Evening,3.4,
2025+AC0-11+AC0-01,MAMBO,Feeding,Morning,,2.5
2025+AC0-11+AC0-01,MAMBO,Milking,Morning,9.6,
2025+AC0-11+AC0-01,MAMBO,Milking,Midday,6.1,
2025+AC0-11+AC0-01,MAMBO,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,MAMBO,Milking,Evening,5.2,
2025+AC0-11+AC0-01,ROCKY,Feeding,Morning,,2.5
2025+AC0-11+AC0-01,ROCKY,Milking,Morning,5.6,
2025+AC0-11+AC0-01,ROCKY,Milking,Midday,3.4,
2025+AC0-11+AC0-01,ROCKY,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,ROCKY,Milking,Evening,3.1,
2025+AC0-11+AC0-01,JOAN,Feeding,Morning,,2.5
2025+AC0-11+AC0-01,JOAN,Milking,Morning,7,
2025+AC0-11+AC0-01,JOAN,Milking,Midday,6,
2025+AC0-11+AC0-01,JOAN,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,JOAN,Milking,Evening,3.5,
2025+AC0-11+AC0-01,BROOK,Feeding,Morning,,3.8
2025+AC0-11+AC0-01,BROOK,Milking,Morning,4.4,
2025+AC0-11+AC0-01,BROOK,Milking,Midday,3.7,
2025+AC0-11+AC0-01,BROOK,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,BROOK,Milking,Evening,3,
2025+AC0-11+AC0-01,SONIC,Feeding,Morning,,2.5
2025+AC0-11+AC0-01,SONIC,Milking,Morning,7.2,
2025+AC0-11+AC0-01,SONIC,Milking,Midday,7.1,
2025+AC0-11+AC0-01,SONIC,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,SONIC,Milking,Evening,4.5,
2025+AC0-11+AC0-01,RODEO,Feeding,Morning,,2.5
2025+AC0-11+AC0-01,RODEO,Milking,Morning,3.7,
2025+AC0-11+AC0-01,RODEO,Milking,Midday,3.5,
2025+AC0-11+AC0-01,RODEO,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,RODEO,Milking,Evening,3.5,
2025+AC0-11+AC0-01,CHROME,Feeding,Morning,,2.5
2025+AC0-11+AC0-01,CHROME,Milking,Morning,7.3,
2025+AC0-11+AC0-01,CHROME,Milking,Midday,7.5,
2025+AC0-11+AC0-01,CHROME,Feeding,Evening,,2.5
2025+AC0-11+AC0-01,CHROME,Milking,Evening,6.5,
